"","Species","Weight","Length1","Length2","Length3","Height","Width"
"2","Bream",290,24,26.3,31.2,12.48,4.3056
"3","Bream",340,23.9,26.5,31.1,12.3778,4.6961
"4","Bream",363,26.3,29,33.5,12.73,4.4555
"5","Bream",430,26.5,29,34,12.444,5.134
"6","Bream",450,26.8,29.7,34.7,13.6024,4.9274
"7","Bream",500,26.8,29.7,34.5,14.1795,5.2785
"8","Bream",390,27.6,30,35,12.67,4.69
"9","Bream",450,27.6,30,35.1,14.0049,4.8438
"10","Bream",500,28.5,30.7,36.2,14.2266,4.9594
"11","Bream",475,28.4,31,36.2,14.2628,5.1042
"12","Bream",500,28.7,31,36.2,14.3714,4.8146
"14","Bream",340,29.5,32,37.3,13.9129,5.0728
"16","Bream",600,29.4,32,37.2,15.438,5.58
"17","Bream",700,30.4,33,38.3,14.8604,5.2854
"18","Bream",700,30.4,33,38.5,14.938,5.1975
"19","Bream",610,30.9,33.5,38.6,15.633,5.1338
"20","Bream",650,31,33.5,38.7,14.4738,5.7276
"21","Bream",575,31.3,34,39.5,15.1285,5.5695
"22","Bream",685,31.4,34,39.2,15.9936,5.3704
"23","Bream",620,31.5,34.5,39.7,15.5227,5.2801
"24","Bream",680,31.8,35,40.6,15.4686,6.1306
"25","Bream",700,31.9,35,40.5,16.2405,5.589
"26","Bream",725,31.8,35,40.9,16.36,6.0532
"28","Bream",714,32.7,36,41.5,16.517,5.8515
"29","Bream",850,32.8,36,41.6,16.8896,6.1984
"31","Bream",920,35,38.5,44.1,18.0369,6.3063
"32","Bream",955,35,38.5,44,18.084,6.292
"33","Bream",925,36.2,39.5,45.3,18.7542,6.7497
"34","Bream",975,37.4,41,45.9,18.6354,6.7473
"35","Bream",950,38,41,46.5,17.6235,6.3705
"36","Roach",40,12.9,14.1,16.2,4.1472,2.268
"37","Roach",69,16.5,18.2,20.3,5.2983,2.8217
"38","Roach",78,17.5,18.8,21.2,5.5756,2.9044
"39","Roach",87,18.2,19.8,22.2,5.6166,3.1746
"40","Roach",120,18.6,20,22.2,6.216,3.5742
"41","Roach",0,19,20.5,22.8,6.4752,3.3516
"42","Roach",110,19.1,20.8,23.1,6.1677,3.3957
"43","Roach",120,19.4,21,23.7,6.1146,3.2943
"44","Roach",150,20.4,22,24.7,5.8045,3.7544
"46","Roach",160,20.5,22.5,25.3,7.0334,3.8203
"47","Roach",140,21,22.5,25,6.55,3.325
"48","Roach",160,21.1,22.5,25,6.4,3.8
"49","Roach",169,22,24,27.2,7.5344,3.8352
"50","Roach",161,22,23.4,26.7,6.9153,3.6312
"52","Roach",180,23.6,25.2,27.9,7.0866,3.906
"53","Roach",290,24,26,29.2,8.8768,4.4968
"54","Roach",272,25,27,30.6,8.568,4.7736
"55","Roach",390,29.5,31.7,35,9.485,5.355
"56","Parkki",55,13.5,14.7,16.5,6.8475,2.3265
"57","Parkki",60,14.3,15.5,17.4,6.5772,2.3142
"58","Parkki",90,16.3,17.7,19.8,7.4052,2.673
"60","Parkki",150,18.4,20,22.4,8.8928,3.2928
"61","Parkki",140,19,20.7,23.2,8.5376,3.2944
"62","Parkki",170,19,20.7,23.2,9.396,3.4104
"63","Parkki",145,19.8,21.5,24.1,9.7364,3.1571
"64","Parkki",200,21.2,23,25.8,10.3458,3.6636
"65","Parkki",273,23,25,28,11.088,4.144
"66","Parkki",300,24,26,29,11.368,4.234
"67","Pike",200,30,32.3,34.8,5.568,3.3756
"68","Pike",300,31.7,34,37.8,5.7078,4.158
"69","Pike",300,32.7,35,38.8,5.9364,4.3844
"70","Pike",300,34.8,37.3,39.8,6.2884,4.0198
"71","Pike",430,35.5,38,40.5,7.29,4.5765
"72","Pike",345,36,38.5,41,6.396,3.977
"73","Pike",456,40,42.5,45.5,7.28,4.3225
"74","Pike",510,40,42.5,45.5,6.825,4.459
"75","Pike",540,40.1,43,45.8,7.786,5.1296
"76","Pike",500,42,45,48,6.96,4.896
"77","Pike",567,43.2,46,48.7,7.792,4.87
"78","Pike",770,44.8,48,51.2,7.68,5.376
"79","Pike",950,48.3,51.7,55.1,8.9262,6.1712
"80","Pike",1250,52,56,59.7,10.6863,6.9849
"81","Pike",1600,56,60,64,9.6,6.144
"82","Pike",1550,56,60,64,9.6,6.144
"83","Pike",1650,59,63.4,68,10.812,7.48
"84","Smelt",6.7,9.3,9.8,10.8,1.7388,1.0476
"85","Smelt",7.5,10,10.5,11.6,1.972,1.16
"86","Smelt",7,10.1,10.6,11.6,1.7284,1.1484
"87","Smelt",9.7,10.4,11,12,2.196,1.38
"88","Smelt",9.8,10.7,11.2,12.4,2.0832,1.2772
"89","Smelt",8.7,10.8,11.3,12.6,1.9782,1.2852
"90","Smelt",10,11.3,11.8,13.1,2.2139,1.2838
"91","Smelt",9.9,11.3,11.8,13.1,2.2139,1.1659
"93","Smelt",12.2,11.5,12.2,13.4,2.0904,1.3936
"94","Smelt",13.4,11.7,12.4,13.5,2.43,1.269
"95","Smelt",12.2,12.1,13,13.8,2.277,1.2558
"96","Smelt",19.7,13.2,14.3,15.2,2.8728,2.0672
